Order Date,Sales,holiday
2014-11-11,665.88,Veterans Day
2017-11-23,74.112,Thanksgiving Day
2017-11-23,27.992,Thanksgiving Day
2017-11-23,3.304,Thanksgiving Day
2017-12-25,41.96,Christmas Day
2016-09-05,82.8,Labor Day
2015-09-07,671.93,Labor Day
2015-10-12,899.136,Columbus Day
2015-10-12,71.76,Columbus Day
2015-10-12,51.84,Columbus Day
2015-10-12,626.352,Columbus Day
2015-10-12,19.9,Columbus Day
2017-05-29,25.92,Memorial Day
2017-05-29,53.424,Memorial Day
2017-11-23,28.4,Thanksgiving Day
2017-11-23,287.92,Thanksgiving Day
2016-09-05,12.22,Labor Day
2016-09-05,194.94,Labor Day
2016-09-05,70.95,Labor Day
2016-09-05,91.36,Labor Day
2016-09-05,242.94,Labor Day
2016-09-05,22.05,Labor Day
2016-05-30,22.62,Memorial Day
2016-05-30,14.952,Memorial Day
2016-05-30,801.568,Memorial Day
2016-05-30,2.376,Memorial Day
2016-05-30,32.792,Memorial Day
2015-07-03,70.98,Independence Day (observed)
2015-07-03,294.93,Independence Day (observed)
2017-12-25,191.984,Christmas Day
2017-02-20,22.23,Washington's Birthday
2017-02-20,215.968,Washington's Birthday
2014-10-13,11.52,Columbus Day
2014-10-13,1298.55,Columbus Day
2014-10-13,213.92,Columbus Day
2014-10-13,25.78,Columbus Day
2017-01-01,48.896,New Year's Day
2017-11-11,10.44,Veterans Day
2017-11-11,18.336,Veterans Day
2016-05-30,3.282,Memorial Day
2014-11-11,3.392,Veterans Day
2014-11-11,559.984,Veterans Day
2014-11-11,603.92,Veterans Day
2015-07-03,168.464,Independence Day (observed)
2015-07-03,6.72,Independence Day (observed)
2015-07-03,282.888,Independence Day (observed)
2016-11-24,4.416,Thanksgiving Day
2014-01-20,699.93,Martin Luther King Jr. Day
2014-01-20,22.96,Martin Luther King Jr. Day
2014-01-20,38.6,Martin Luther King Jr. Day
2014-01-20,6.63,Martin Luther King Jr. Day
2014-01-20,23.34,Martin Luther King Jr. Day
2014-01-20,1067.94,Martin Luther King Jr. Day
2014-09-01,53.94,Labor Day
2016-05-30,839.988,Memorial Day
2016-02-15,398.352,Washington's Birthday
2016-02-15,8.72,Washington's Birthday
2015-07-04,1099.96,Independence Day
2016-09-05,278.4,Labor Day
2015-07-04,15.48,Independence Day
2015-05-25,845.728,Memorial Day
2017-10-09,10.816,Columbus Day
2017-01-02,695.7,New Year's Day (observed)
2017-01-02,15.66,New Year's Day (observed)
2017-01-02,28.854,New Year's Day (observed)
2017-11-10,38.388,Veterans Day (observed)
2017-11-10,95.994,Veterans Day (observed)
2017-11-10,239.952,Veterans Day (observed)
2017-11-10,201.584,Veterans Day (observed)
2017-11-10,899.136,Veterans Day (observed)
2017-10-09,652.45,Columbus Day
2017-10-09,66.645,Columbus Day
2016-11-24,17.216,Thanksgiving Day
2016-11-24,11.56,Thanksgiving Day
2016-11-24,88.4,Thanksgiving Day
2016-11-24,6.48,Thanksgiving Day
2016-12-26,33.9,Christmas Day (observed)
2014-11-27,3.76,Thanksgiving Day
2017-09-04,10.192,Labor Day
2017-09-04,16.784,Labor Day
2017-09-04,13.12,Labor Day
2016-11-24,33.52,Thanksgiving Day
2016-11-24,9.94,Thanksgiving Day
2017-09-04,91.96,Labor Day
2014-05-26,290.666,Memorial Day
2014-05-26,201.584,Memorial Day
2014-05-26,83.984,Memorial Day
2016-11-24,41.92,Thanksgiving Day
2016-11-24,297.576,Thanksgiving Day
2016-11-24,4.344,Thanksgiving Day
2016-11-24,94.992,Thanksgiving Day
